product,classification,current_price,new_price,note
MORU フラワーラウンジ,SUMMER_SALE,9980,8980,Owner承認済み
クラウド サイドテーブル,SUMMER_SALE,12480,11980,Owner承認済み(次回テスト候補 10980)
クリアシェード テーブルランプ,SUMMER_SALE,11480,10980,Owner承認済み
コイル サイドテーブル,SUMMER_SALE,33480,31980,Owner承認済み
コーデュロイ フォールディングチェア,SUMMER_SALE,11480,10980,Owner承認済み
ジオメトリック ブックスタンド,SUMMER_SALE,8480,7980,本体のみ
ジオメトリック ブックスタンド,SUMMER_SALE,9480,8980,ダミーブック3冊付き
セル サイドボード,SUMMER_SALE,33480,31980,Aタイプ
セル サイドボード,SUMMER_SALE,34980,33480,Bタイプ
ツインベル アラームクロック,SUMMER_SALE,5480,4980,Owner承認済み
デュオ ナイトテーブル,SUMMER_SALE,53480,49980,1連
デュオ ナイトテーブル,SUMMER_SALE,104980,99980,2連
ハル ダイニングチェア,SUMMER_SALE,21980,20980,1脚
ハル ダイニングチェア,SUMMER_SALE,35480,33980,2脚セット(構造的二重割引に注意)
ビス ダイニングチェア,SUMMER_SALE,23480,22980,パッチワーク系
ビス ダイニングチェア,SUMMER_SALE,25980,24980,ファブリック系
ピボ テーブルランプ,SUMMER_SALE,28480,26980,現Variantの CKB原価のみ使用
フラワー キャットタワー,SUMMER_SALE,31480,29980,Owner承認済み
ボア ラウンジチェア,SUMMER_SALE,16480,14980,Owner承認済み
マッシュルーム コードレステーブルランプ,SUMMER_SALE,10480,9980,Owner承認済み
モコ ラウンジチェア,SUMMER_SALE,42480,39980,Owner承認済み
ロロ サイドテーブル,SUMMER_SALE,20980,19980,Owner承認済み
ロンド コーヒーテーブル,SUMMER_SALE,27480,26980,50cm
ロンド コーヒーテーブル,SUMMER_SALE,30480,29980,60cm
ガラスフラワー オブジェ,MULTI_BUY,3980,3480,Owner承認済み
ジャカード 中綿付きクッション,MULTI_BUY,3980,3480,Owner承認済み
セラミック ブックエンド,MULTI_BUY,7980,6980,本体のみ
セラミック ブックエンド,MULTI_BUY,8480,7480,雑誌3冊付き
バルーンドッグ オブジェ,MULTI_BUY,3980,3480,Owner承認済み
パイピング クッション,MULTI_BUY,5980,5480,CKB 1094帯
パイピング クッション,MULTI_BUY,6480,5980,CKB 1219帯
パイピング クッション,MULTI_BUY,6980,6480,CKB 1369帯
フェイクファー ブランケット,MULTI_BUY,3480,2980,100x150cm
フェイクファー ブランケット,MULTI_BUY,4480,3980,150x200 / 180x200cm
フラワー フロアクッション,MULTI_BUY,7480,5480,直径40cm
フラワー フロアクッション,MULTI_BUY,8480,5980,直径50cm
フラワーバッド テーブルランプ,MULTI_BUY,6980,5980,Owner承認済み
フランネル ブランケット,MULTI_BUY,3480,2980,100x150cm
フランネル ブランケット,MULTI_BUY,4480,3980,150x200 / 180x200cm
ベルベット クッション,MULTI_BUY,5480,4980,CKB 894帯
ベルベット クッション,MULTI_BUY,5980,5480,CKB 1094-1169帯
ベルベット クッション,MULTI_BUY,6980,6480,CKB 1494帯
ベルベット クッション,MULTI_BUY,7980,6980,CKB 1694-1719帯
ミニ アラームクロック,MULTI_BUY,4980,4480,Owner承認済み
レジン スカルプチャーオブジェ,MULTI_BUY,3980,3480,Owner承認済み
手編みコースター,MULTI_BUY,3480,2980,CKB 232-299帯
手編みコースター,MULTI_BUY,3980,3480,CKB 349-499帯
