product,classification,reason
MORU フラワーラウンジ,SUMMER_SALE,単品購入型・ヒーロー商品
クラウド サイドテーブル,SUMMER_SALE,単品購入型 / PAIR P-6 の片側
クリアシェード テーブルランプ,SUMMER_SALE,単品購入型
コイル サイドテーブル,SUMMER_SALE,単品購入型・高単価
コーデュロイ フォールディングチェア,SUMMER_SALE,単品購入型
ジオメトリック ブックスタンド,SUMMER_SALE,単品購入型
セル サイドボード,SUMMER_SALE,単品購入型・高単価
ツインベル アラームクロック,SUMMER_SALE,単品購入型 / PAIR候補の片側
デュオ ナイトテーブル,SUMMER_SALE,単品購入型・最高単価
ハル ダイニングチェア,SUMMER_SALE,単品購入型 / 2脚セットVariantあり
ビス ダイニングチェア,SUMMER_SALE,単品購入型
ピボ テーブルランプ,SUMMER_SALE,単品購入型
フラワー キャットタワー,SUMMER_SALE,単品購入型・ペット家具
ボア ラウンジチェア,SUMMER_SALE,単品購入型
マッシュルーム コードレステーブルランプ,SUMMER_SALE,単品購入型 / PAIR P-6 の片側
モコ ラウンジチェア,SUMMER_SALE,単品購入型・高単価
ロロ サイドテーブル,SUMMER_SALE,単品購入型
ロンド コーヒーテーブル,SUMMER_SALE,単品購入型・高単価
ガラスフラワー オブジェ,MULTI_BUY,小物・複数買いが自然
ジャカード 中綿付きクッション,MULTI_BUY,クッション・複数買いが自然
セラミック ブックエンド,MULTI_BUY,小物・左右/複数買いが自然
バルーンドッグ オブジェ,MULTI_BUY,小物・色違い複数買いが自然
パイピング クッション,MULTI_BUY,クッション・複数買いが自然
フェイクファー ブランケット,MULTI_BUY,ブランケット・複数買いが自然
フラワー フロアクッション,MULTI_BUY,クッション・複数買いが自然
フラワーバッド テーブルランプ,MULTI_BUY,低単価照明・複数買いが自然
フランネル ブランケット,MULTI_BUY,ブランケット・複数買いが自然
ベルベット クッション,MULTI_BUY,クッション・複数買いが自然
ミニ アラームクロック,MULTI_BUY,小物・複数買いが自然
レジン スカルプチャーオブジェ,MULTI_BUY,小物・複数買いが自然
手編みコースター,MULTI_BUY,1点買いが少ない想定・AOV底上げ役
ソラ キャットハンモック,保留_市場調査,日本国内実売が CKB原価を下回る可能性。値上げしない。販売停止/非掲載候補
ルナ ウォールライト,除外_DRAFT,Owner判断で販売しない。価格変更・プロモ設定をしない
セル モジュールキャビネット,除外_DRAFT,Owner判断で販売しない。価格変更・プロモ設定をしない
プラッシュ クッション,除外_DRAFT,Owner判断で販売しない。価格変更・プロモ設定をしない
アブストラクト オブジェ,除外_商品構成再設計,21 Variantの価格差が大きすぎる。商品構成の再設計が先。価格自動設計から除外
